"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Points:0"	"Points:1"	"Points:2"
1.1368	324	0.82684	17.306	2.8142e+005	4.7276e-005	94046	288.21	0.0014093	0.83867	1.7896e-005	0	0	0	0	0	3.7806e-006	0.38404	2.3058	-1.5346
1.1368	324.05	0.30906	17.243	2.8146e+005	4.728e-005	94057	288.22	0.0016339	0.83872	1.7896e-005	0	0	0	0	0	3.7825e-006	-0.054865	3.0979	-2.583
1.1367	324.06	0.30008	17.294	2.8143e+005	4.7275e-005	94042	288.2	0.0013113	0.83887	1.7896e-005	0	0	0	0	0	3.7795e-006	-0.026873	3.4018	-2.3309
1.1368	324.06	0.29082	17.292	2.8144e+005	4.7277e-005	94047	288.21	0.0014324	0.83881	1.7896e-005	0	0	0	0	0	3.7806e-006	-0.14633	3.3776	-2.2978
1.1365	324.03	0.76771	17.448	2.8136e+005	4.7265e-005	94013	288.18	0.0006969	0.83903	1.7894e-005	0	0	0	0	0	3.7743e-006	0.41166	2.5057	-1.3688
1.1366	324.02	0.75921	17.435	2.8138e+005	4.727e-005	94025	288.19	0.00095538	0.8389	1.7895e-005	0	0	0	0	0	3.7768e-006	0.33254	2.4893	-1.3487
1.1366	324.07	0.274	17.335	2.8141e+005	4.7271e-005	94033	288.19	0.0011152	0.83896	1.7895e-005	0	0	0	0	0	3.7778e-006	-0.11834	3.6579	-2.0311
1.136	324.14	0.25343	16.096	2.8126e+005	4.7273e-005	93962	288.13	-0.00041162	0.83953	1.7892e-005	0	0	0	0	0	3.7726e-006	5.6413	0.34692	-2.4145
1.1363	324.13	0.0216	15.958	2.8133e+005	4.7245e-005	93994	288.16	0.00028561	0.83923	1.7894e-005	0	0	0	0	0	3.7664e-006	4.1125	0	-2.4145
1.1365	324.12	0.113	16.778	2.8139e+005	4.7295e-005	94020	288.18	0.00084685	0.83911	1.7895e-005	0	0	0	0	0	3.7839e-006	4.3689	0.46891	-3.9679
1.1365	324.11	0.010638	16.753	2.8139e+005	4.7273e-005	94022	288.19	0.00088018	0.83907	1.7895e-005	0	0	0	0	0	3.7774e-006	4.1713	0	-3.9455
1.136	324.15	0.0085382	16.071	2.8126e+005	4.7247e-005	93959	288.13	-0.00046714	0.83956	1.7892e-005	0	0	0	0	0	3.7644e-006	5.6413	0	-2.4152
1.1363	324.15	0.11097	16.816	2.8134e+005	4.7293e-005	93993	288.16	0.00025417	0.8394	1.7893e-005	0	0	0	0	0	3.7812e-006	5.6413	0.48372	-3.9455
1.1361	324.09	0.95805	17.208	2.8127e+005	4.7265e-005	93965	288.14	-0.00033535	0.83953	1.7892e-005	0	0	0	0	0	3.7704e-006	5.6413	2.2451	-1.9996
1.1361	324.09	0.9189	17.407	2.8127e+005	4.7268e-005	93966	288.14	-0.00033362	0.83954	1.7892e-005	0	0	0	0	0	3.7712e-006	5.6413	2.4994	-1.8405
1.1362	324.07	0.97503	17.368	2.8131e+005	4.7268e-005	93986	288.15	0.00011475	0.83934	1.7893e-005	0	0	0	0	0	3.773e-006	4.4889	2.4365	-1.8687
1.1359	324.09	1.8437	17.404	2.8123e+005	4.7268e-005	93946	288.12	-0.00076044	0.83971	1.7892e-005	0	0	0	0	0	3.7694e-006	5.6413	1.8604	-1.121
1.1365	324.05	1.0151	17.295	2.8137e+005	4.7267e-005	94014	288.18	0.00070936	0.83905	1.7894e-005	0	0	0	0	0	3.7751e-006	3.3333	2.3139	-1.9358
1.1364	324.11	0.44439	17.264	2.8136e+005	4.728e-005	94004	288.17	0.00050375	0.83929	1.7894e-005	0	0	0	0	0	3.778e-006	4.5834	3.1541	-3.2748
1.1362	324.14	0.42624	17.298	2.8133e+005	4.7278e-005	93987	288.15	0.0001325	0.83948	1.7893e-005	0	0	0	0	0	3.776e-006	5.6413	3.1867	-3.2807
1.1364	324.11	0.4298	17.353	2.8136e+005	4.7277e-005	94001	288.17	0.00042806	0.83932	1.7894e-005	0	0	0	0	0	3.7767e-006	4.5868	3.5251	-3.0163
1.1366	324.09	0.44231	17.226	2.814e+005	4.7285e-005	94027	288.19	0.0009982	0.83904	1.7895e-005	0	0	0	0	0	3.7813e-006	3.5959	3.0675	-3.2776
1.1365	324.09	0.42986	17.315	2.8139e+005	4.7281e-005	94021	288.18	0.00086828	0.83911	1.7895e-005	0	0	0	0	0	3.7797e-006	3.6057	3.4366	-3.0212
1.1366	324.08	0.42113	17.305	2.814e+005	4.7281e-005	94025	288.19	0.00095414	0.83905	1.7895e-005	0	0	0	0	0	3.7802e-006	3.2311	3.4089	-3.0162
1.1364	324.04	0.95617	17.488	2.8136e+005	4.7267e-005	94010	288.17	0.00062605	0.8391	1.7894e-005	0	0	0	0	0	3.7748e-006	3.3285	2.5471	-1.7583
1.1365	324.03	0.95895	17.479	2.8138e+005	4.7268e-005	94020	288.18	0.00083085	0.839	1.7895e-005	0	0	0	0	0	3.7757e-006	2.9247	2.5215	-1.7665
1.1365	324.09	0.39529	17.384	2.8139e+005	4.7277e-005	94019	288.18	0.00081666	0.83912	1.7895e-005	0	0	0	0	0	3.7783e-006	3.2281	3.7458	-2.7271
1.136	324.06	1.3978	18.249	2.8125e+005	4.7284e-005	93954	288.13	-0.00058386	0.83967	1.7892e-005	0	0	0	0	0	3.7751e-006	5.6413	2.2918	-0.75601
1.136	324.05	1.2166	18.44	2.8126e+005	4.7285e-005	93956	288.13	-0.00053554	0.83967	1.7892e-005	0	0	0	0	0	3.7755e-006	5.6413	2.3932	-0.61532
1.1362	324.03	1.3521	18.462	2.813e+005	4.7286e-005	93978	288.15	-5.8287e-005	0.83945	1.7893e-005	0	0	0	0	0	3.7776e-006	4.3363	2.3168	-0.68829
1.1358	324	2.2975	19.149	2.8123e+005	4.7328e-005	93941	288.12	-0.00086406	0.83978	1.7891e-005	0	0	0	0	0	3.7871e-006	5.6413	1.8792	-0.37406
1.1362	324.06	0.72949	17.83	2.8131e+005	4.7264e-005	93983	288.15	3.8436e-005	0.83939	1.7893e-005	0	0	0	0	0	3.7715e-006	4.4684	3.0467	-1.2746
1.1361	324.07	0.69424	17.841	2.8128e+005	4.7262e-005	93965	288.13	-0.00034465	0.83956	1.7892e-005	0	0	0	0	0	3.7695e-006	5.6413	3.104	-1.2433
1.1362	324.06	0.61585	17.94	2.8131e+005	4.7263e-005	93981	288.15	9.7327e-006	0.83941	1.7893e-005	0	0	0	0	0	3.7711e-006	4.4487	3.1948	-1.0461
1.1363	324.04	0.63235	17.928	2.8133e+005	4.7265e-005	93993	288.16	0.00025858	0.83928	1.7893e-005	0	0	0	0	0	3.7727e-006	3.7472	3.1364	-1.0944
1.1362	324.03	1.1263	18.649	2.8131e+005	4.7287e-005	93979	288.15	-3.5997e-005	0.83945	1.7893e-005	0	0	0	0	0	3.778e-006	4.3131	2.409	-0.53826
1.1363	324.01	1.178	18.655	2.8134e+005	4.7284e-005	93996	288.16	0.00032824	0.83928	1.7894e-005	0	0	0	0	0	3.7784e-006	3.4545	2.3679	-0.59628
