position-X	position-Y
12.049000000 	 0.358250000 
12.046973490 	 0.364753889 
12.046701687 	 0.370279292 
12.048591155 	 0.374847648 
12.052941556 	 0.378480041 
12.059907159 	 0.381194581 
12.069577245 	 0.383005724 
12.081963808 	 0.383921257 
12.097000917 	 0.383944517 
12.114589646 	 0.383076207 
12.134598331 	 0.381312955 
12.156839365 	 0.378646911 
12.181057824 	 0.375064645 
12.206899479 	 0.370551318 
12.233951083 	 0.365090332 
12.261974578 	 0.358674592 
12.290234510 	 0.351286477 
12.318488317 	 0.342919078 
12.346737341 	 0.333572732 
12.374981590 	 0.323247585 
12.403221191 	 0.311943726 
12.431455787 	 0.299661621 
12.459685006 	 0.286401751 
12.487908475 	 0.272164595 
12.516125822 	 0.256950632 
12.544336673 	 0.240760343 
12.572540655 	 0.223594207 
12.600737397 	 0.205452704 
12.628926526 	 0.186336313 
12.657107668 	 0.166245514 
12.685280452 	 0.145180787 
12.713444504 	 0.123142611 
12.741603006 	 0.100129826 
12.769760783 	 0.076140669 
12.797916266 	 0.051176449 
12.826067787 	 0.025238518 
12.854213680 	 -0.001671770 
12.882352276 	 -0.029553063 
12.910481908 	 -0.058404008 
12.938600909 	 -0.088223251 
12.966707611 	 -0.119009440 
12.994800348 	 -0.150761222 
13.022880899 	 -0.183478947 
13.050953978 	 -0.217164343 
13.079019073 	 -0.251816490 
13.107075581 	 -0.287434426 
13.135122903 	 -0.324017191 
13.163159736 	 -0.361563407 
13.191184683 	 -0.400071508 
13.219197780 	 -0.439540677 
13.247199369 	 -0.479970231 
13.275184753 	 -0.521360222 
13.303929836 	 -0.563629029 
13.335237421 	 -0.606636612 
13.369822145 	 -0.650350450 
13.407981032 	 -0.694756220 
13.449877221 	 -0.739837012 
13.495547596 	 -0.785573457 
13.545038439 	 -0.831944611 
13.598363216 	 -0.878927469 
13.655504542 	 -0.926500433 
13.716435845 	 -0.974644837 
13.781124987 	 -1.023345068 
13.849546621 	 -1.072583917 
13.921676001 	 -1.122343983 
13.997486912 	 -1.172608629 
14.076939781 	 -1.223367372 
14.160002069 	 -1.274604617 
14.246644081 	 -1.326303151 
14.336836123 	 -1.378445761 
14.430548499 	 -1.431015235 
14.527751517 	 -1.483994359 
14.628415479 	 -1.537365920 
14.732510693 	 -1.591112706 
14.840007463 	 -1.645217503 
14.950874935 	 -1.699663295 
15.065050445 	 -1.754441606 
15.182480179 	 -1.809550664 
15.303122241 	 -1.864987934 
15.426934739 	 -1.920750881 
15.553875777 	 -1.976836972 
15.683903463 	 -2.033243672 
15.816975902 	 -2.089968447 
15.953051201 	 -2.147008763 
16.092087465 	 -2.204362086 
16.234042802 	 -2.262025881 
16.378875299 	 -2.319997623 
16.526533648 	 -2.378283161 
16.676979421 	 -2.436892086 
16.830187502 	 -2.495828947 
16.986132776 	 -2.555098291 
17.144790129 	 -2.614704665 
17.306134445 	 -2.674652618 
17.470140610 	 -2.734946697 
17.636783509 	 -2.795591449 
17.806038027 	 -2.856591423 
17.977879049 	 -2.917951166 
18.152276947 	 -2.979676017 
18.329206201 	 -3.041767353 
18.508650408 	 -3.104222993 
18.690593193 	 -3.167040743 
18.875018182 	 -3.230218413 
19.061909002 	 -3.293753808 
19.251249280 	 -3.357644737 
19.443022641 	 -3.421889009 
19.637212711 	 -3.486484430 
19.833803117 	 -3.551428808 
20.032777486 	 -3.616719952 
20.234119348 	 -3.682355670 
20.437799536 	 -3.748333868 
20.643792661 	 -3.814651976 
